126415614616154112,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,positive,apple
126402758403305474,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,positive,apple
126397179614068736,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,positive,apple
126379685453119488,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,positive,apple
126377656416612353,Great up close & personal event @Apple tonight in Regent St store!,positive,apple
126373779483004928,From which companies do you experience the best customer service aside from @zappos and @apple?,positive,apple
126365858481188864,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,positive,apple
126360935509135362,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,apple
126360398885687296,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,positive,apple
126358340220616704,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,apple
